#Strata	Haul	Sex	Len	Freq
3	104	3	38	3
3	104	3	39	3
2	105	3	29	1
2	105	3	34	1
2	105	3	38	3
2	105	3	39	1
2	105	3	40	3
2	105	3	41	1
2	105	3	42	1
2	105	3	38	2
2	105	3	39	1
2	105	3	40	4
3	106	3	35	1
3	106	3	36	2
3	106	3	38	2
3	106	3	40	1
3	106	3	32	1
3	106	3	33	1
3	106	3	36	3
3	106	3	37	1
3	106	3	38	5
3	106	3	39	1
3	107	3	31	1
3	107	3	37	1
3	107	3	38	1
3	107	3	40	2
3	107	3	36	2
3	107	3	37	2
3	107	3	38	2
3	107	3	39	2
3	107	3	40	2
3	107	3	41	1
3	107	3	42	1
3	108	3	34	1
3	108	3	35	1
3	108	3	36	2
3	108	3	37	2
3	108	3	38	1
3	108	3	39	1
3	108	3	35	2
3	108	3	36	1
3	108	3	37	5
3	108	3	38	6
3	108	3	39	1
3	108	3	41	1
2	109	3	34	1
2	109	3	36	1
2	109	3	37	2
2	109	3	40	1
2	109	3	41	2
2	109	3	36	2
2	109	3	37	1
2	109	3	39	3
2	109	3	40	5
2	109	3	43	2
2	110	3	33	1
2	110	3	34	1
2	110	3	36	2
2	110	3	37	4
2	110	3	38	3
2	110	3	39	1
2	110	3	34	1
2	110	3	36	4
2	110	3	37	1
2	110	3	38	2
2	110	3	39	3
2	110	3	40	1
2	111	3	34	2
2	111	3	36	3
2	111	3	37	2
2	111	3	38	2
2	111	3	39	2
2	111	3	41	1
2	111	3	33	1
2	111	3	35	1
2	111	3	36	1
2	111	3	37	2
2	111	3	38	2
2	111	3	39	1
2	111	3	40	1
2	112	3	29	1
2	112	3	33	1
2	112	3	35	2
2	112	3	36	1
2	112	3	37	3
2	112	3	38	3
2	112	3	39	2
2	112	3	40	1
2	112	3	30	1
2	112	3	32	2
2	112	3	36	2
2	112	3	37	1
2	113	3	35	3
2	113	3	37	2
2	113	3	38	1
2	113	3	39	2
2	113	3	33	1
2	113	3	34	1
2	113	3	35	1
2	113	3	36	6
2	113	3	37	4
2	113	3	38	2
2	114	3	35	3
2	114	3	36	1
2	114	3	37	3
2	114	3	38	2
2	114	3	33	1
2	114	3	34	1
2	114	3	36	2
2	114	3	37	4
2	114	3	40	1
2	114	3	41	1
1	115	3	41	1
1	115	3	44	1
1	115	3	43	6
1	115	3	42	3
1	115	3	45	1
1	115	3	44	3
1	115	3	41	3
1	115	3	40	2
1	116	3	43	5
1	116	3	44	3
1	116	3	41	3
1	116	3	42	6
1	116	3	40	1
1	116	3	41	1
1	116	3	43	1
1	117	3	41	1
1	117	3	42	2
1	117	3	43	4
1	117	3	44	3
1	117	3	45	2
1	117	3	46	1
1	117	3	39	1
1	117	3	41	1
1	117	3	44	1
1	118	3	40	1
1	118	3	41	3
1	118	3	46	1
1	118	3	43	1
1	118	3	44	3
